OrderDate,CustomerID,OrderTotal
5/1/2020,5227,933.8
5/1/2020,1313,694.85
5/1/2020,2059,1319.9
5/1/2020,4572,531.45
5/1/2020,5559,3804
5/1/2020,1481,2596.4
5/1/2020,4642,545.75
5/1/2020,4706,3353.6
5/1/2020,1984,5715.6
5/1/2020,1743,5986
5/1/2020,932,902.8
5/1/2020,4131,1479.2
5/2/2020,4685,1001.9
5/2/2020,3637,2127.85
5/2/2020,5712,485
5/2/2020,470,1253.4
5/2/2020,936,3566.85
5/3/2020,5713,2409.35
5/3/2020,3559,1936.8
5/3/2020,2816,3068.8
5/3/2020,1626,1347.3
5/3/2020,3566,8701.9
5/3/2020,1735,661.65
5/3/2020,2158,3927.85
5/3/2020,5182,6404.1
5/3/2020,2827,2190.1
5/3/2020,5863,1189.7
5/3/2020,380,4202.9
5/4/2020,788,652.8
5/4/2020,2056,1657
5/4/2020,5731,2344.45
5/4/2020,4914,1124.5
5/4/2020,3129,4453.8
5/4/2020,5139,123.2
5/4/2020,3508,2761.3
5/4/2020,3194,528.9
5/4/2020,467,1249.6
5/4/2020,3239,4439.55
5/4/2020,1913,1801.8
5/5/2020,4486,1385.4
5/5/2020,4148,663.3
5/5/2020,4228,1849
5/5/2020,4337,135
5/5/2020,1023,3279.45
5/5/2020,1354,2806.4
5/5/2020,1340,7793.15
5/5/2020,3998,1616.45
5/5/2020,4716,1437.3
5/5/2020,1496,3254.95
5/5/2020,3114,2050.4
5/5/2020,5444,3867.95
5/6/2020,3420,3067.3
5/6/2020,4234,3382.5
5/6/2020,3625,640.9
5/6/2020,3175,116.55
5/6/2020,1362,69
5/6/2020,2714,4809
5/6/2020,5727,2916.9
5/6/2020,5520,1517.95
5/6/2020,3208,358.85
5/6/2020,3474,1647.3
5/6/2020,627,243.5
5/6/2020,1364,934.2
5/6/2020,2700,3809.55
5/7/2020,2885,2339.1
5/7/2020,210,3571.9
5/7/2020,2778,2108
5/7/2020,1272,3224.3
5/7/2020,1442,883.8
5/7/2020,4707,1249.05
5/7/2020,1053,4161.75
5/7/2020,636,2184.5
5/7/2020,4857,4446.4
5/7/2020,3454,2625.25
5/7/2020,2853,1895.15
5/8/2020,5624,1197.9
5/8/2020,4313,3251.25
5/8/2020,1521,5027.7
5/8/2020,2004,906.65
5/8/2020,3563,3736.4
5/8/2020,4494,1483.75
5/8/2020,1258,440
5/8/2020,5680,1677.25
5/8/2020,2048,6574
5/9/2020,926,323.35
5/9/2020,1720,324.6
5/9/2020,3808,3999.2
5/9/2020,2951,2830.8
5/9/2020,4146,2161.6
5/9/2020,4421,2771.25
5/9/2020,3016,237.95
5/9/2020,3522,2780.15
5/9/2020,3886,4655.3
5/9/2020,5273,1285.35
5/9/2020,4828,1451.95
5/10/2020,1075,747.5
5/10/2020,4397,2484
5/10/2020,5737,1652
5/10/2020,1397,146.9
5/10/2020,5074,1204.75
5/10/2020,5693,2678.45
5/10/2020,4803,1108
5/10/2020,2036,1211
5/10/2020,4386,238.75
5/10/2020,4219,5041.55
5/11/2020,3499,3497.05
5/11/2020,4731,3998.65
5/11/2020,4060,1862.75
5/11/2020,3764,947.3
5/11/2020,1941,684
5/11/2020,1691,4440.14
5/11/2020,2314,3475.28
5/11/2020,3589,2792.1
5/11/2020,2586,310
5/11/2020,2788,1385.5
5/11/2020,3772,1562.4
5/12/2020,2888,1286.25
5/12/2020,5866,1013
5/12/2020,4036,1750.25
5/12/2020,4010,6066.25
5/12/2020,3168,2371.55
5/12/2020,5204,1181.15
5/12/2020,3925,3893.3
5/12/2020,4382,487.6
5/12/2020,3,7859.85
5/12/2020,340,885.15
5/12/2020,1386,1639.7
5/12/2020,4723,545.95
5/12/2020,3688,869.1
5/12/2020,199,1218.55
5/12/2020,2634,2549.75
5/12/2020,2966,179.4
5/12/2020,3703,3588.25
5/12/2020,4134,711.3
5/13/2020,5624,2040.65
5/13/2020,4526,5225.45
5/13/2020,3480,1245.65
5/13/2020,2931,109.5
5/13/2020,3129,2059.45
5/13/2020,5120,3366.75
5/13/2020,528,2264.5
5/13/2020,4862,4166.7
5/13/2020,3503,10260.3
5/13/2020,4360,886.85
5/13/2020,2552,6195.65
5/14/2020,4481,5988.6
5/14/2020,2197,91.2
5/14/2020,2247,1547.9
5/14/2020,4071,4451.55
5/14/2020,4086,4171.75
5/14/2020,5754,1347.8
5/14/2020,5623,2082.05
5/14/2020,1996,523
5/14/2020,4226,2998.05
5/14/2020,2496,168
5/14/2020,2079,5435.7
5/14/2020,1870,1560.1
5/14/2020,5330,135.9
5/15/2020,5099,1328.6
5/15/2020,1343,3255
5/15/2020,4366,2018.8
5/15/2020,5318,660.6
5/15/2020,3156,3837
5/15/2020,3138,1055.45
5/15/2020,5196,1965.9
5/15/2020,3405,364.3
5/15/2020,5071,633.75
5/15/2020,2159,1187.75
5/15/2020,3814,3656.7
5/15/2020,679,786.8
5/15/2020,4526,2541.9
5/15/2020,3342,2351.5
5/16/2020,4436,884.6
5/16/2020,1462,450.85
5/16/2020,5641,717.45
5/16/2020,2809,767
5/16/2020,812,5060
5/16/2020,5306,2241.75
5/16/2020,731,434.85
5/16/2020,3780,2862.6
5/17/2020,3996,2428.3
5/17/2020,3280,2433.4
5/17/2020,2100,591
5/17/2020,1311,329
5/17/2020,1807,671.2
5/17/2020,2085,1281.05
