SalesOrderID,ProductID,ProductQuantity
1,652,8
1,1305,1
1,875,9
1,1178,8
1,576,3
1,541,3
2,95,1
2,1137,4
2,824,12
2,1042,6
2,161,7
3,150,8
3,483,7
3,423,7
3,428,10
3,784,1
3,155,12
3,437,9
3,69,3
3,871,3
4,524,5
4,637,3
4,1188,9
4,1059,1
5,145,7
5,1282,9
5,370,7
5,411,5
6,1070,7
6,846,7
6,1022,5
6,1292,5
6,709,1
6,395,4
6,9,7
6,450,3
6,175,2
6,585,12
6,1196,12
6,1233,12
7,1217,1
7,1146,4
7,1119,11
8,1097,7
8,420,10
8,13,8
8,1132,8
8,1336,8
8,1366,4
8,247,10
9,612,12
9,661,5
9,507,10
9,838,1
9,1267,6
9,598,4
9,1025,5
9,1232,12
9,710,7
9,951,12
9,610,3
10,34,12
10,24,10
10,569,10
11,614,11
11,442,3
11,1185,6
11,585,7
11,952,4
12,816,8
12,126,6
12,586,12
12,435,7
12,955,1
12,1011,7
13,221,5
13,1230,4
13,572,11
13,519,12
13,1159,6
13,1170,2
13,130,7
14,800,1
14,949,5
14,1296,1
14,971,5
14,404,9
14,752,1
14,299,5
14,374,5
14,1158,9
15,713,11
15,869,1
15,262,10
15,904,8
15,624,11
16,1298,3
16,1301,9
16,600,3
17,121,2
17,1005,1
17,627,12
17,501,5
17,1320,8
17,816,1
17,217,11
17,1232,12
17,62,4
18,175,11
18,556,2
18,1114,6
18,933,5
18,1246,11
18,341,3
18,958,5
19,1163,5
19,610,3
19,795,2
19,259,6
19,1173,11
19,366,9
19,1073,3
19,100,10
19,1131,7
19,731,5
19,975,1
19,263,8
20,988,12
20,498,9
20,588,4
21,302,3
21,776,7
21,938,3
21,945,12
21,231,7
21,259,11
22,1359,1
22,1365,1
22,473,12
22,590,9
22,328,11
22,204,8
22,1357,9
22,966,4
22,828,3
22,974,12
22,846,1
22,1035,5
23,575,1
23,1272,7
23,1015,12
24,579,9
24,54,3
24,219,9
24,199,9
24,672,3
24,724,1
24,475,4
24,196,9
24,88,1
24,351,2
24,747,9
25,562,5
25,111,11
25,794,3
25,1149,8
25,1096,12
25,285,2
25,788,9
25,1226,7
25,783,4
25,269,12
25,1331,6
26,1352,10
26,1237,1
26,594,5
26,663,4
26,1316,7
26,930,10
26,564,3
26,1028,1
26,858,1
26,637,8
27,448,4
27,98,8
27,1376,12
27,477,2
27,1,5
27,339,11
27,1036,1
28,116,5
28,50,12
28,1185,6
28,78,10
28,295,9
28,1239,4
28,939,3
28,97,4
28,112,3
28,970,10
28,1364,5
29,626,6
29,1325,5
29,693,6
29,130,1
29,420,9
29,1337,8
30,910,7
30,403,12
30,133,4
30,345,8
30,1084,9
30,237,3
30,1244,12
30,240,1
30,1196,9
31,205,11
31,462,3
31,198,2
31,781,6
31,928,5
31,117,4
31,1348,11
31,1103,2
31,1237,7
32,295,11
32,86,10
32,647,6
32,1251,6
33,615,3
33,680,2
33,12,10
33,1270,5
33,744,6
33,83,8
33,129,3
33,689,2
34,99,6
34,529,7
35,180,11
35,1022,1
35,1278,11
35,718,7
35,1346,6
35,1248,3
35,390,4
36,813,6
36,608,1
36,993,5
36,695,2
37,1307,4
37,131,5
37,1231,1
37,1372,12
37,1360,10
37,1210,1
37,1093,3
37,1162,3
37,847,2
38,209,11
38,415,4
38,582,3
38,994,7
38,1276,3
38,366,5
38,792,6
39,824,4
39,1239,11
39,32,1
39,417,5
39,185,5
39,1365,11
39,539,4
39,812,12
39,145,6
39,443,11
40,107,8
40,1124,8
40,109,7
40,57,1
40,898,6
40,1046,11
40,1040,12
41,1068,3
41,701,6
41,1116,11
41,822,8
42,1107,2
42,860,3
42,92,11
42,606,2
42,580,4
42,432,3
42,1172,8
42,161,3
43,905,4
43,769,1
44,318,11
44,795,5
44,1243,8
44,1357,7
44,769,1
44,136,12
44,119,7
45,326,1
45,388,2
45,72,9
45,692,10
45,1260,6
45,1168,12
46,669,3
46,218,8
46,778,10
46,1318,5
46,401,1
46,565,11
46,918,6
46,327,7
46,661,9
46,1063,12
46,928,3
46,836,3
47,1034,11
47,693,10
47,166,5
47,558,10
47,1208,10
47,464,3
47,1323,10
47,822,1
48,1240,5
48,1312,9
48,345,1
48,917,12
48,851,11
48,1010,10
48,1160,6
49,14,9
49,117,1
49,1084,6
49,263,1
49,629,5
49,342,3
49,518,10
49,655,9
49,347,2
49,1301,10
49,1107,11
49,984,9
50,819,11
50,1332,2
50,462,8
50,1004,5
50,271,10
50,1244,3
50,380,8
50,227,4
50,1108,4
50,1291,1
51,1034,8
51,203,1
51,765,6
51,28,1
51,12,8
51,1351,1
52,268,10
52,1184,9
52,839,7
52,559,12
52,1220,12
52,1059,8
52,126,4
52,1096,6
52,372,11
52,985,6
52,1360,12
53,998,10
53,953,5
53,61,7
53,1322,4
53,140,5
53,1075,12
53,67,8
53,96,9
53,908,9
53,1101,10
53,184,9
54,329,8
54,318,10
54,573,5
54,1190,12
55,377,9
56,281,3
57,527,4
57,5,7
57,755,8
57,123,9
57,15,10
57,97,6
57,1330,10
57,933,12
57,1309,11
57,749,12
58,113,6
58,701,6
58,1311,1
58,1124,7
58,566,9
58,626,1
58,887,7
58,834,2
58,273,4
58,12,5
58,535,8
59,267,10
59,522,4
59,1024,1
59,564,1
60,839,9
60,668,2
60,940,10
60,66,2
61,1046,12
61,832,9
61,1338,10
61,470,3
61,838,2
61,967,4
61,740,8
61,1251,6
62,56,10
62,237,3
63,298,12
63,1162,5
63,556,3
63,470,11
64,491,9
64,890,10
64,1316,4
64,870,11
64,292,2
64,1131,9
64,104,8
64,745,2
64,443,2
64,53,7
64,1276,7
65,1201,1
65,825,2
65,207,8
65,857,12
65,361,7
65,1279,4
65,618,11
65,175,9
65,816,9
66,1253,4
66,977,6
66,868,10
66,715,7
66,139,4
66,938,7
66,80,9
66,374,2
66,927,11
66,4,10
66,198,3
67,176,10
67,1019,5
67,169,2
67,1187,12
67,328,10
68,819,1
68,445,5
68,494,5
68,295,4
68,884,12
68,101,7
68,876,2
68,417,12
68,1331,12
68,913,3
68,734,10
69,1175,6
69,1011,4
69,228,1
69,985,4
69,146,6
70,784,4
70,193,8
70,505,10
70,533,1
70,707,4
70,1288,2
70,763,11
70,790,4
71,1077,4
71,215,5
71,583,12
71,363,2
71,617,2
71,63,11
71,1022,10
71,170,11
71,209,10
71,1345,2
71,842,1
71,85,7
72,273,2
72,955,6
72,1030,2
72,500,3
72,580,11
72,1217,11
72,1333,11
72,706,8
72,1360,1
73,334,6
73,63,4
73,559,10
73,274,9
73,229,11
73,59,6
73,235,11
73,1005,10
73,871,7
73,157,12
73,869,5
73,912,11
74,1105,11
74,307,5
74,590,9
74,344,3
74,823,12
74,1226,9
74,107,7
74,1130,7
74,872,8
74,762,6
74,1067,7
75,700,11
75,1291,9
75,691,2
75,969,6
75,667,8
75,1355,3
75,181,9
75,485,3
75,749,11
75,731,2
75,284,4
76,1289,12
76,426,6
76,542,2
77,1163,3
77,832,10
77,949,1
77,121,2
77,144,11
77,588,12
77,1134,11
77,1071,9
77,292,8
77,53,9
78,1186,1
78,1126,2
78,1341,12
78,908,12
78,893,5
78,82,12
78,866,2
78,513,7
78,1036,10
78,96,11
78,923,4
79,1176,7
79,1182,9
79,1060,7
80,267,11
80,5,7
80,860,1
80,422,8
80,1297,11
80,109,11
81,992,4
81,289,9
81,1070,2
81,861,10
81,529,2
81,979,7
81,1250,6
81,1151,11
81,641,10
82,927,6
82,220,4
83,1086,5
83,612,11
83,437,10
83,370,11
83,130,5
83,471,5
83,1341,10
84,1047,1
84,7,4
84,426,8
84,12,9
84,240,2
84,10,4
84,1319,10
85,731,4
85,130,1
85,650,4
85,1008,5
85,857,4
86,720,8
86,457,11
86,826,5
86,558,1
87,1190,8
87,931,11
87,221,9
87,238,6
87,407,3
87,53,11
87,1005,5
87,699,10
87,802,11
88,632,9
88,1375,9
88,181,8
88,695,12
88,156,1
88,1091,8
88,978,9
88,988,12
88,1075,5
88,904,3
89,369,9
89,356,2
89,1137,9
89,797,7
89,213,8
89,312,12
89,644,8
89,252,11
89,301,2
90,988,1
90,339,1
90,685,10
90,1124,6
90,129,10
90,810,6
90,1361,12
90,977,8
90,65,6
90,1363,5
90,710,7
90,672,8
91,214,1
91,740,5
92,853,5
92,748,12
92,345,11
92,485,9
92,907,5
92,1161,6
92,612,10
92,856,7
92,687,11
92,144,6
92,905,4
92,381,4
93,739,2
93,1269,10
93,657,5
93,1280,10
93,180,3
93,212,6
93,1154,11
93,630,10
94,1167,3
94,217,9
94,834,9
94,940,1
95,906,1
95,148,5
95,258,7
95,1352,11
95,743,2
95,1093,3
95,640,8
95,210,1
96,68,7
96,1165,2
96,492,8
97,142,6
97,1000,4
97,70,9
97,269,3
98,154,4
98,954,9
98,656,2
98,568,10
98,177,3
98,268,11
99,1376,2
99,1109,3
100,680,3
100,276,11
100,902,12
100,1361,12
100,335,9
100,65,2
101,928,11
101,495,7
101,1152,4
101,453,1
